id,Angle_Bend,Bend_Offset,Angle_Roll,Roll_Offset
1,-360,-110,-360,-44
2,-359,-110,-359,-44
3,-358,-110,-358,-44
4,-357,-110,-357,-44
5,-356,-110,-356,-44
6,-355,-110,-355,-44
7,-354,-110,-354,-44
8,-353,-110,-353,-44
9,-352,-110,-352,-44
10,-351,-110,-351,-44
11,-350,-110,-350,-44
12,-349,-110,-349,-44
13,-348,-110,-348,-44
14,-347,-110,-347,-44
15,-346,-110,-346,-44
16,-345,-110,-345,-44
17,-344,-110,-344,-44
18,-343,-110,-343,-44
19,-342,-110,-342,-44
20,-341,-110,-341,-44
21,-340,-110,-340,-44
22,-339,-110,-339,-44
23,-338,-110,-338,-44
24,-337,-110,-337,-44
25,-336,-110,-336,-44
26,-335,-110,-335,-44
27,-334,-110,-334,-44
28,-333,-110,-333,-44
29,-332,-110,-332,-44
30,-331,-110,-331,-44
31,-330,-110,-330,-44
32,-329,-110,-329,-44
33,-328,-110,-328,-44
34,-327,-110,-327,-44
35,-326,-110,-326,-44
36,-325,-110,-325,-44
37,-324,-110,-324,-44
38,-323,-110,-323,-44
39,-322,-110,-322,-44
40,-321,-110,-321,-44
41,-320,-110,-320,-44
42,-319,-110,-319,-44
43,-318,-110,-318,-44
44,-317,-110,-317,-44
45,-316,-110,-316,-44
46,-315,-110,-315,-44
47,-314,-110,-314,-44
48,-313,-110,-313,-44
49,-312,-110,-312,-44
50,-311,-110,-311,-44
51,-310,-110,-310,-44
52,-309,-110,-309,-44
53,-308,-110,-308,-44
54,-307,-110,-307,-44
55,-306,-110,-306,-44
56,-305,-110,-305,-44
57,-304,-110,-304,-44
58,-303,-110,-303,-44
59,-302,-110,-302,-44
60,-301,-110,-301,-44
61,-300,-110,-300,-44
62,-299,-110,-299,-44
63,-298,-110,-298,-44
64,-297,-110,-297,-44
65,-296,-110,-296,-44
66,-295,-110,-295,-44
67,-294,-110,-294,-44
68,-293,-110,-293,-44
69,-292,-110,-292,-44
70,-291,-110,-291,-44
71,-290,-110,-290,-44
72,-289,-110,-289,-44
73,-288,-110,-288,-44
74,-287,-110,-287,-44
75,-286,-110,-286,-44
76,-285,-110,-285,-44
77,-284,-110,-284,-44
78,-283,-110,-283,-44
79,-282,-110,-282,-44
80,-281,-110,-281,-44
81,-280,-110,-280,-44
82,-279,-110,-279,-44
83,-278,-110,-278,-44
84,-277,-110,-277,-44
85,-276,-110,-276,-44
86,-275,-110,-275,-44
87,-274,-110,-274,-44
88,-273,-110,-273,-44
89,-272,-110,-272,-44
90,-271,-110,-271,-44
91,-270,-110,-270,-44
