id,Angle_Bend,Bend_Offset,Angle_Roll,Roll_Offset
1,-180,-360,-180,-900
2,-179,-358,-179,-895
3,-178,-356,-178,-890
4,-177,-354,-177,-885
5,-176,-352,-176,-880
6,-175,-350,-175,-875
7,-174,-348,-174,-870
8,-173,-346,-173,-865
9,-172,-344,-172,-860
10,-171,-342,-171,-855
11,-170,-340,-170,-850
12,-169,-338,-169,-845
13,-168,-336,-168,-840
14,-167,-334,-167,-835
15,-166,-332,-166,-830
16,-165,-330,-165,-825
17,-164,-328,-164,-820
18,-163,-326,-163,-815
19,-162,-324,-162,-810
20,-161,-322,-161,-805
21,-160,-320,-160,-800
22,-159,-318,-159,-795
23,-158,-316,-158,-790
24,-157,-314,-157,-785
25,-156,-312,-156,-780
26,-155,-310,-155,-775
27,-154,-308,-154,-770
28,-153,-306,-153,-765
29,-152,-304,-152,-760
30,-151,-302,-151,-755
31,-150,-300,-150,-750
32,-149,-298,-149,-745
33,-148,-296,-148,-740
34,-147,-294,-147,-735
35,-146,-292,-146,-730
36,-145,-290,-145,-725
37,-144,-288,-144,-720
38,-143,-286,-143,-715
39,-142,-284,-142,-710
40,-141,-282,-141,-705
41,-140,-280,-140,-700
42,-139,-278,-139,-695
43,-138,-276,-138,-690
44,-137,-274,-137,-685
45,-136,-272,-136,-680
46,-135,-270,-135,-675
47,-134,-268,-134,-670
48,-133,-266,-133,-665
49,-132,-264,-132,-660
50,-131,-262,-131,-655
51,-130,-260,-130,-650
52,-129,-258,-129,-645
53,-128,-256,-128,-640
54,-127,-254,-127,-635
55,-126,-252,-126,-630
56,-125,-250,-125,-625
57,-124,-248,-124,-620
58,-123,-246,-123,-615
59,-122,-244,-122,-610
60,-121,-242,-121,-605
61,-120,-240,-120,-600
62,-119,-238,-119,-595
63,-118,-236,-118,-590
64,-117,-234,-117,-585
65,-116,-232,-116,-580
66,-115,-230,-115,-575
67,-114,-228,-114,-570
68,-113,-226,-113,-565
69,-112,-224,-112,-560
70,-111,-222,-111,-555
71,-110,-220,-110,-550
72,-109,-218,-109,-545
73,-108,-216,-108,-540
74,-107,-214,-107,-535
75,-106,-212,-106,-530
76,-105,-210,-105,-525
77,-104,-208,-104,-520
78,-103,-206,-103,-515
79,-102,-204,-102,-510
80,-101,-202,-101,-505
81,-100,-200,-100,-500
82,-99,-198,-99,-495
83,-98,-196,-98,-490
84,-97,-194,-97,-485
85,-96,-192,-96,-480
86,-95,-190,-95,-475
87,-94,-188,-94,-470
88,-93,-186,-93,-465
89,-92,-184,-92,-460
90,-91,-182,-91,-455
91,-90,-180,-90,-450
92,-89,-178,-89,-445
93,-88,-176,-88,-440
94,-87,-174,-87,-435
95,-86,-172,-86,-430
96,-85,-170,-85,-425
97,-84,-168,-84,-420
98,-83,-166,-83,-415
99,-82,-164,-82,-410
100,-81,-162,-81,-405
101,-80,-160,-80,-400
102,-79,-158,-79,-395
103,-78,-156,-78,-390
104,-77,-154,-77,-385
105,-76,-152,-76,-380
106,-75,-150,-75,-375
107,-74,-148,-74,-370
108,-73,-146,-73,-365
109,-72,-144,-72,-360
110,-71,-142,-71,-355
111,-70,-140,-70,-350
112,-69,-138,-69,-345
113,-68,-136,-68,-340
114,-67,-134,-67,-335
115,-66,-132,-66,-330
116,-65,-130,-65,-325
117,-64,-128,-64,-320
118,-63,-126,-63,-315
119,-62,-124,-62,-310
120,-61,-122,-61,-305
121,-60,-120,-60,-300
122,-59,-118,-59,-295
123,-58,-116,-58,-290
124,-57,-114,-57,-285
125,-56,-112,-56,-280
126,-55,-110,-55,-275
127,-54,-108,-54,-270
128,-53,-106,-53,-265
129,-52,-104,-52,-260
130,-51,-102,-51,-255
131,-50,-100,-50,-250
132,-49,-98,-49,-245
133,-48,-96,-48,-240
134,-47,-94,-47,-235
135,-46,-92,-46,-230
136,-45,-90,-45,-225
137,-44,-88,-44,-220
138,-43,-86,-43,-215
139,-42,-84,-42,-210
140,-41,-82,-41,-205
141,-40,-80,-40,-200
142,-39,-78,-39,-195
143,-38,-76,-38,-190
144,-37,-74,-37,-185
145,-36,-72,-36,-180
146,-35,-70,-35,-175
147,-34,-68,-34,-170
148,-33,-66,-33,-165
149,-32,-64,-32,-160
150,-31,-62,-31,-155
151,-30,-60,-30,-150
152,-29,-58,-29,-145
153,-28,-56,-28,-140
154,-27,-54,-27,-135
155,-26,-52,-26,-130
156,-25,-50,-25,-125
157,-24,-48,-24,-120
158,-23,-46,-23,-115
159,-22,-44,-22,-110
160,-21,-42,-21,-105
161,-20,-40,-20,-100
162,-19,-38,-19,-95
163,-18,-36,-18,-90
164,-17,-34,-17,-85
165,-16,-32,-16,-80
166,-15,-30,-15,-75
167,-14,-28,-14,-70
168,-13,-26,-13,-65
169,-12,-24,-12,-60
170,-11,-22,-11,-55
171,-10,-20,-10,-50
172,-9,-18,-9,-45
173,-8,-16,-8,-40
174,-7,-14,-7,-35
175,-6,-12,-6,-30
176,-5,-10,-5,-25
177,-4,-8,-4,-20
178,-3,-6,-3,-15
179,-2,-4,-2,-10
180,-1,-2,-1,-5
181,0,0,0,0
182,1,2,1,5
183,2,4,2,10
184,3,6,3,15
185,4,8,4,20
186,5,10,5,25
187,6,12,6,30
188,7,14,7,35
189,8,16,8,40
190,9,18,9,45
191,10,20,10,50
192,11,22,11,55
193,12,24,12,60
194,13,26,13,65
195,14,28,14,70
196,15,30,15,75
197,16,32,16,80
198,17,34,17,85
199,18,36,18,90
200,19,38,19,95
201,20,40,20,100
202,21,42,21,105
203,22,44,22,110
204,23,46,23,115
205,24,48,24,120
206,25,50,25,125
207,26,52,26,130
208,27,54,27,135
209,28,56,28,140
210,29,58,29,145
211,30,60,30,150
212,31,62,31,155
213,32,64,32,160
214,33,66,33,165
215,34,68,34,170
216,35,70,35,175
217,36,72,36,180
218,37,74,37,185
219,38,76,38,190
220,39,78,39,195
221,40,80,40,200
222,41,82,41,205
223,42,84,42,210
224,43,86,43,215
225,44,88,44,220
226,45,90,45,225
227,46,92,46,230
228,47,94,47,235
229,48,96,48,240
230,49,98,49,245
231,50,100,50,250
232,51,102,51,255
233,52,104,52,260
234,53,106,53,265
235,54,108,54,270
236,55,110,55,275
237,56,112,56,280
238,57,114,57,285
239,58,116,58,290
240,59,118,59,295
241,60,120,60,300
242,61,122,61,305
243,62,124,62,310
244,63,126,63,315
245,64,128,64,320
246,65,130,65,325
247,66,132,66,330
248,67,134,67,335
249,68,136,68,340
250,69,138,69,345
251,70,140,70,350
252,71,142,71,355
253,72,144,72,360
254,73,146,73,365
255,74,148,74,370
256,75,150,75,375
257,76,152,76,380
258,77,154,77,385
259,78,156,78,390
260,79,158,79,395
261,80,160,80,400
262,81,162,81,405
263,82,164,82,410
264,83,166,83,415
265,84,168,84,420
266,85,170,85,425
267,86,172,86,430
268,87,174,87,435
269,88,176,88,440
270,89,178,89,445
271,90,180,90,450
272,91,182,91,455
273,92,184,92,460
274,93,186,93,465
275,94,188,94,470
276,95,190,95,475
277,96,192,96,480
278,97,194,97,485
279,98,196,98,490
280,99,198,99,495
281,100,200,100,500
282,101,202,101,505
283,102,204,102,510
284,103,206,103,515
285,104,208,104,520
286,105,210,105,525
287,106,212,106,530
288,107,214,107,535
289,108,216,108,540
290,109,218,109,545
291,110,220,110,550
292,111,222,111,555
293,112,224,112,560
294,113,226,113,565
295,114,228,114,570
296,115,230,115,575
297,116,232,116,580
298,117,234,117,585
299,118,236,118,590
300,119,238,119,595
301,120,240,120,600
302,121,242,121,605
303,122,244,122,610
304,123,246,123,615
305,124,248,124,620
306,125,250,125,625
307,126,252,126,630
308,127,254,127,635
309,128,256,128,640
310,129,258,129,645
311,130,260,130,650
